"from" "to"
"1" 4 8
"2" 1 12
"3" 14 20
"4" 3 23
"5" 15 24
"6" 21 25
"7" 20 28
"8" 22 28
"9" 25 28
"10" 3 29
"11" 23 29
"12" 12 30
"13" 20 30
"14" 5 33
"15" 21 37
"16" 7 38
"17" 29 40
"18" 2 41
"19" 7 41
"20" 13 41
"21" 23 42
"22" 31 42
"23" 7 43
"24" 43 44
"25" 14 47
"26" 26 47
"27" 37 47
"28" 43 47
"29" 40 49
"30" 47 50
"31" 49 52
"32" 39 53
"33" 5 54
"34" 10 54
"35" 23 54
"36" 45 55
"37" 57 59
"38" 39 60
"39" 25 62
"40" 32 62
"41" 12 63
"42" 56 63
"43" 20 64
"44" 22 64
"45" 60 64
"46" 55 65
"47" 11 66
"48" 5 67
"49" 6 68
"50" 9 68
"51" 13 68
"52" 20 68
"53" 28 68
"54" 53 68
"55" 35 70
"56" 13 71
"57" 29 73
"58" 27 74
"59" 10 75
"60" 22 77
"61" 63 77
"62" 8 79
"63" 8 80
"64" 59 81
"65" 68 81
"66" 79 84
"67" 36 85
"68" 45 85
"69" 30 87
"70" 21 90
"71" 24 90
"72" 42 90
"73" 72 90
"74" 75 90
"75" 14 93
"76" 79 93
"77" 52 94
"78" 73 94
"79" 82 94
"80" 85 94
"81" 2 96
"82" 90 96
"83" 50 97
"84" 58 97
"85" 91 98
"86" 81 99
"87" 29 100
"88" 97 102
"89" 73 103
"90" 74 103
"91" 32 104
"92" 43 104
"93" 47 105
"94" 86 105
"95" 1 106
"96" 7 106
"97" 8 107
"98" 41 107
"99" 11 108
"100" 100 108
"101" 84 110
"102" 85 110
"103" 109 110
"104" 14 111
"105" 18 112
"106" 53 112
"107" 60 112
"108" 75 112
"109" 75 114
"110" 89 114
"111" 45 115
"112" 84 115
"113" 93 115
"114" 13 116
"115" 34 116
"116" 36 116
"117" 39 116
"118" 100 117
"119" 107 117
"120" 47 119
"121" 57 119
"122" 101 119
"123" 42 122
"124" 93 122
"125" 108 122
"126" 120 122
"127" 51 123
"128" 58 124
"129" 65 124
"130" 69 124
"131" 123 125
"132" 49 126
"133" 104 126
"134" 28 127
"135" 46 127
"136" 60 127
"137" 14 128
"138" 59 128
"139" 61 128
"140" 121 129
"141" 41 130
"142" 22 131
"143" 26 131
"144" 40 131
"145" 111 131
"146" 55 132
"147" 99 132
"148" 122 132
"149" 64 133
"150" 20 134
"151" 44 134
"152" 100 135
"153" 122 135
"154" 45 136
"155" 51 136
"156" 87 136
"157" 1 138
"158" 63 138
"159" 118 138
"160" 11 139
"161" 63 139
"162" 72 139
"163" 76 139
"164" 116 139
"165" 133 139
"166" 84 140
"167" 93 140
"168" 132 140
"169" 139 140
"170" 47 141
"171" 54 141
"172" 118 141
"173" 19 142
"174" 108 142
"175" 27 143
"176" 137 143
"177" 26 144
"178" 55 144
"179" 86 145
"180" 106 145
"181" 133 145
"182" 43 146
"183" 19 148
"184" 76 148
"185" 132 148
"186" 137 148
"187" 5 149
"188" 51 149
"189" 75 150
"190" 25 151
"191" 50 151
"192" 139 151
"193" 14 152
"194" 112 152
"195" 113 152
"196" 53 153
"197" 21 154
"198" 77 154
"199" 94 154
"200" 8 155
"201" 66 155
"202" 78 156
"203" 120 156
"204" 152 156
"205" 16 157
"206" 116 157
"207" 116 158
"208" 29 159
"209" 93 160
"210" 40 161
"211" 69 161
"212" 97 161
"213" 93 162
"214" 57 164
"215" 158 164
"216" 14 165
"217" 31 165
"218" 53 165
"219" 162 165
"220" 19 166
"221" 78 166
"222" 152 166
"223" 13 167
"224" 27 167
"225" 74 167
"226" 118 167
"227" 125 167
"228" 23 168
"229" 106 168
"230" 157 168
"231" 23 169
"232" 39 169
"233" 122 169
"234" 128 169
"235" 159 169
"236" 165 169
"237" 20 170
"238" 56 170
"239" 119 170
"240" 170 171
"241" 116 172
"242" 124 172
"243" 143 172
"244" 108 173
"245" 26 174
"246" 84 174
"247" 111 174
"248" 125 175
"249" 37 176
"250" 65 176
"251" 83 176
"252" 97 177
"253" 1 178
"254" 25 178
"255" 151 178
"256" 3 179
"257" 41 179
"258" 74 179
"259" 111 179
"260" 118 179
"261" 18 180
"262" 38 181
"263" 117 181
"264" 40 182
"265" 89 182
"266" 79 183
"267" 80 183
"268" 94 183
"269" 40 184
"270" 93 184
"271" 125 184
"272" 83 185
"273" 102 185
"274" 127 185
"275" 166 185
"276" 97 186
"277" 7 187
"278" 57 187
"279" 127 187
"280" 57 188
"281" 42 189
"282" 84 189
"283" 185 189
"284" 2 190
"285" 171 190
"286" 12 191
"287" 172 191
"288" 17 193
"289" 25 193
"290" 153 193
"291" 177 193
"292" 182 193
"293" 36 194
"294" 102 194
"295" 117 194
"296" 161 194
"297" 174 194
"298" 55 195
"299" 85 195
"300" 59 196
"301" 101 196
"302" 116 196
"303" 45 197
"304" 94 197
"305" 92 198
"306" 106 198
"307" 141 198
"308" 17 199
"309" 30 199
"310" 60 199
"311" 104 199
"312" 169 199
"313" 35 200
"314" 49 200
"315" 63 200
"316" 110 200
"317" 137 200
"318" 176 200
"319" 43 201
"320" 55 201
"321" 134 201
"322" 161 201
"323" 16 202
"324" 20 202
"325" 70 202
"326" 101 202
"327" 108 202
"328" 145 202
"329" 169 202
"330" 185 202
"331" 82 203
"332" 117 203
"333" 133 203
"334" 67 204
"335" 106 204
"336" 110 204
"337" 116 204
"338" 28 205
"339" 61 205
"340" 53 206
"341" 71 206
"342" 114 207
"343" 171 208
"344" 168 209
"345" 175 209
"346" 1 210
"347" 8 210
"348" 46 210
"349" 79 210
"350" 56 211
"351" 63 211
"352" 147 211
"353" 152 211
"354" 162 211
"355" 44 212
"356" 67 212
"357" 98 212
"358" 41 213
"359" 163 213
"360" 175 213
"361" 22 214
"362" 200 214
"363" 134 215
"364" 160 215
"365" 67 216
"366" 138 216
"367" 24 217
"368" 38 217
"369" 22 218
"370" 55 218
"371" 14 219
"372" 144 219
"373" 184 219
"374" 66 220
"375" 5 221
"376" 24 221
"377" 155 221
"378" 128 222
"379" 134 222
"380" 143 222
"381" 164 222
"382" 199 222
"383" 209 222
"384" 104 223
"385" 181 223
"386" 193 223
"387" 196 223
"388" 69 224
"389" 74 224
"390" 76 224
"391" 161 224
"392" 164 224
"393" 200 224
